I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
2.616968994140625000e+02,2.086635131835937500e+02,-1.614730453491210938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.601868591308593750e+02,2.090236053466796875e+02,-2.032227897644042969e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.584632568359375000e+02,2.093945922851562500e+02,-2.359685707092285156e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.563046875000000000e+02,2.097877807617187500e+02,-2.503725814819335938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.546685943603515625e+02,2.101510772705078125e+02,-2.603591346740722656e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.534021606445312500e+02,2.104932403564453125e+02,-2.672200393676757812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.530810394287109375e+02,2.111182403564453125e+02,-2.683190917968750000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.529499053955078125e+02,2.116314392089843750e+02,-2.685201072692871094e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.529342956542968750e+02,2.106333007812500000e+02,-2.704006958007812500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.529335174560546875e+02,2.095918121337890625e+02,-2.726285171508789062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.529597778320312500e+02,2.084714660644531250e+02,-2.754879760742187500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.530302581787109375e+02,2.070866546630859375e+02,-2.778815841674804688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.531288909912109375e+02,2.055335235595703125e+02,-2.799787139892578125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.532230224609375000e+02,2.025213470458984375e+02,-2.817078781127929688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.533164672851562500e+02,1.993941650390625000e+02,-2.835556602478027344e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.534098968505859375e+02,1.970306701660156250e+02,-2.866405487060546875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.538134765625000000e+02,1.947819213867187500e+02,-2.892111778259277344e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.547226867675781250e+02,1.927202301025390625e+02,-2.909434509277343750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.556404571533203125e+02,1.913247985839843750e+02,-2.887049293518066406e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.565631408691406250e+02,1.903097534179687500e+02,-2.841992187500000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.583250122070312500e+02,1.901827850341796875e+02,-2.762476730346679688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.600968017578125000e+02,1.903462677001953125e+02,-2.681445884704589844e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.613515625000000000e+02,1.915579681396484375e+02,-2.615328598022460938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.628135375976562500e+02,1.931993560791015625e+02,-2.558379936218261719e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.645791625976562500e+02,1.954703063964843750e+02,-2.514865303039550781e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.657820739746093750e+02,1.974527893066406250e+02,-2.460648536682128906e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.666976928710937500e+02,1.992879943847656250e+02,-2.400967788696289062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.674416809082031250e+02,1.999610748291015625e+02,-2.507459449768066406e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.681061706542968750e+02,2.006319122314453125e+02,-2.621783828735351562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.684672241210937500e+02,2.017798614501953125e+02,-2.703355216979980469e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.695863952636718750e+02,2.030960845947265625e+02,-2.768136215209960938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.717060241699218750e+02,2.046343688964843750e+02,-2.810761070251464844e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.739020080566406250e+02,2.073878173828125000e+02,-2.844351959228515625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.761326904296875000e+02,2.106936950683593750e+02,-2.873836326599121094e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.765728149414062500e+02,2.146707763671875000e+02,-2.899653244018554688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.767047424316406250e+02,2.190969238281250000e+02,-2.920637512207031250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.760309753417968750e+02,2.251573791503906250e+02,-2.923188400268554688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.753761596679687500e+02,2.303738861083984375e+02,-2.911248207092285156e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.747438964843750000e+02,2.345859527587890625e+02,-2.882060432434082031e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.742615051269531250e+02,2.370472106933593750e+02,-2.826015472412109375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.738395080566406250e+02,2.388035125732421875e+02,-2.759156608581542969e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.719684448242187500e+02,2.414032592773437500e+02,-2.674500274658203125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.702090148925781250e+02,2.440404205322265625e+02,-2.596335792541503906e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.689900207519531250e+02,2.467143249511718750e+02,-2.542379951477050781e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.669028625488281250e+02,2.495863494873046875e+02,-2.468578147888183594e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.638827514648437500e+02,2.526712341308593750e+02,-2.373451042175292969e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.591323547363281250e+02,2.539617309570312500e+02,-2.279594230651855469e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.537689666748046875e+02,2.546165161132812500e+02,-2.186187362670898438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.490112152099609375e+02,2.528458404541015625e+02,-2.139077568054199219e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.443036956787109375e+02,2.507543182373046875e+02,-2.085365295410156250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.397364654541015625e+02,2.477441864013671875e+02,-2.011239051818847656e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.358580474853515625e+02,2.439375610351562500e+02,-1.911205673217773438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.326481170654296875e+02,2.393579864501953125e+02,-1.786030578613281250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.304879455566406250e+02,2.351155700683593750e+02,-1.382411193847656250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.286789550781250000e+02,2.309727630615234375e+02,-8.949196815490722656e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.281609191894531250e+02,2.266066284179687500e+02,-5.141738891601562500e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.275910797119140625e+02,2.220309295654296875e+02,-1.668941974639892578e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.268857116699218750e+02,2.169072113037109375e+02,9.285891652107238770e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.263073425292968750e+02,2.101135101318359375e+02,3.030037403106689453e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.258402709960937500e+02,2.018563995361328125e+02,4.696763992309570312e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.245134277343750000e+02,1.951841583251953125e+02,6.485005855560302734e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
