I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
2.616970214843750000e+02,2.086632537841796875e+02,-1.614521408081054688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.601869812011718750e+02,2.090234985351562500e+02,-2.031989097595214844e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.584633789062500000e+02,2.093945465087890625e+02,-2.359456253051757812e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.563047180175781250e+02,2.097875823974609375e+02,-2.503585624694824219e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.546685943603515625e+02,2.101510772705078125e+02,-2.603470611572265625e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.534022064208984375e+02,2.104936676025390625e+02,-2.672050094604492188e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.530811004638671875e+02,2.111184997558593750e+02,-2.683060646057128906e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.529499664306640625e+02,2.116314392089843750e+02,-2.685097503662109375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.529343719482421875e+02,2.106333007812500000e+02,-2.703903579711914062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.529336242675781250e+02,2.095919189453125000e+02,-2.726171112060546875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.529598846435546875e+02,2.084718627929687500e+02,-2.754735946655273438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.530303497314453125e+02,2.070870819091796875e+02,-2.778678703308105469e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.531289520263671875e+02,2.055338134765625000e+02,-2.799679565429687500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.532231140136718750e+02,2.025216064453125000e+02,-2.816949653625488281e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.533165893554687500e+02,1.993943634033203125e+02,-2.835405158996582031e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.534099731445312500e+02,1.970305786132812500e+02,-2.866283607482910156e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.538135223388671875e+02,1.947817077636718750e+02,-2.892008399963378906e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.547226715087890625e+02,1.927201690673828125e+02,-2.909331130981445312e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.556404113769531250e+02,1.913247985839843750e+02,-2.886964607238769531e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.565630798339843750e+02,1.903097534179687500e+02,-2.841937255859375000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
